twsp-train.arff
m,k,certainty_labeling,num_labels,accuracy
3,7,0,48,0.500000
3,7,0,51,0.500000
3,7,0,54,0.500000
3,7,0,57,0.468750
3,7,0,60,0.463542
3,7,0,63,0.442708
3,7,0,66,0.432292
3,7,0,69,0.421875
3,7,0,72,0.416667
3,7,0,75,0.401042
3,7,0,78,0.395833
3,7,0,81,0.401042
3,7,0,84,0.390625
3,7,0,87,0.401042
3,7,0,90,0.401042
3,7,0,93,0.416667
3,7,0,96,0.427083
3,7,0,99,0.421875
3,7,0,102,0.416667
3,7,0,105,0.416667
3,7,0,108,0.437500
3,7,0,111,0.458333
3,7,0,114,0.489583
3,7,0,117,0.505208
3,7,0,120,0.500000
3,7,0,123,0.520833
3,7,0,126,0.562500
3,7,0,129,0.567708
3,7,0,132,0.562500
3,7,0,135,0.562500
3,7,0,138,0.562500
3,7,0,141,0.578125
3,7,0,144,0.593750
3,7,0,147,0.614583
3,7,0,150,0.614583
3,7,0,153,0.604167
3,7,0,156,0.598958
3,7,0,159,0.619792
3,7,0,162,0.604167
3,7,0,165,0.604167
3,7,0,168,0.593750
3,7,0,171,0.593750
3,7,0,174,0.598958
3,7,0,177,0.593750
3,7,0,180,0.578125
3,7,0,183,0.572917
3,7,0,186,0.567708
3,7,0,189,0.567708
3,7,0,192,0.583333
3,9,1,6,0.500000
3,9,1,9,0.500000
3,9,1,12,0.500000
3,9,1,15,0.484375
3,9,1,18,0.500000
3,9,1,21,0.515625
3,9,1,24,0.515625
3,9,1,27,0.500000
3,9,1,30,0.515625
3,9,1,33,0.510417
3,9,1,36,0.484375
3,9,1,39,0.479167
3,9,1,42,0.463542
3,9,1,45,0.494792
3,9,1,48,0.536458
3,9,1,51,0.531250
3,9,1,54,0.526042
3,9,1,57,0.520833
3,9,1,60,0.552083
3,9,1,63,0.515625
3,9,1,66,0.541667
3,9,1,69,0.510417
3,9,1,72,0.515625
3,9,1,75,0.515625
3,9,1,78,0.526042
3,9,1,81,0.562500
3,9,1,84,0.531250
3,9,1,87,0.531250
3,9,1,90,0.531250
3,9,1,93,0.557292
3,9,1,96,0.567708
3,9,1,99,0.557292
3,9,1,102,0.531250
3,9,1,105,0.510417
3,9,1,108,0.520833
3,9,1,111,0.515625
3,9,1,114,0.515625
3,9,1,117,0.489583
3,9,1,120,0.500000
3,9,1,123,0.484375
3,9,1,126,0.463542
3,9,1,129,0.458333
3,9,1,132,0.458333
3,9,1,135,0.463542
3,9,1,138,0.468750
3,9,1,141,0.463542
3,9,1,144,0.458333
3,9,1,147,0.458333
3,9,1,150,0.442708
3,9,1,153,0.458333
3,9,1,156,0.458333
3,9,1,159,0.458333
3,9,1,162,0.484375
3,9,1,165,0.489583
3,9,1,168,0.494792
3,9,1,171,0.489583
3,9,1,174,0.489583
3,9,1,177,0.531250
3,9,1,180,0.526042
3,9,1,183,0.520833
3,9,1,186,0.520833
3,9,1,189,0.520833
3,9,1,192,0.520833
3,9,0,6,0.500000
3,9,0,9,0.500000
3,9,0,12,0.458333
3,9,0,15,0.484375
3,9,0,18,0.479167
3,9,0,21,0.489583
3,9,0,24,0.473958
3,9,0,27,0.458333
3,9,0,30,0.505208
3,9,0,33,0.500000
3,9,0,36,0.546875
3,9,0,39,0.520833
3,9,0,42,0.520833
3,9,0,45,0.500000
3,9,0,48,0.505208
3,9,0,51,0.541667
3,9,0,54,0.536458
3,9,0,57,0.520833
3,9,0,60,0.505208
3,9,0,63,0.484375
3,9,0,66,0.458333
3,9,0,69,0.458333
3,9,0,72,0.427083
3,9,0,75,0.437500
3,9,0,78,0.473958
3,9,0,81,0.489583
3,9,0,84,0.479167
3,9,0,87,0.479167
3,9,0,90,0.473958
3,9,0,93,0.463542
3,9,0,96,0.442708
3,9,0,99,0.463542
3,9,0,102,0.447917
3,9,0,105,0.437500
3,9,0,108,0.416667
3,9,0,111,0.416667
3,9,0,114,0.437500
3,9,0,117,0.442708
3,9,0,120,0.447917
3,9,0,123,0.453125
3,9,0,126,0.442708
3,9,0,129,0.453125
3,9,0,132,0.442708
3,9,0,135,0.447917
3,9,0,138,0.442708
3,9,0,141,0.411458
3,9,0,144,0.447917
3,9,0,147,0.437500
3,9,0,150,0.458333
3,9,0,153,0.458333
3,9,0,156,0.473958
3,9,0,159,0.489583
3,9,0,162,0.484375
3,9,0,165,0.473958
3,9,0,168,0.479167
3,9,0,171,0.494792
3,9,0,174,0.510417
3,9,0,177,0.526042
3,9,0,180,0.515625
3,9,0,183,0.510417
3,9,0,186,0.515625
3,9,0,189,0.531250
3,9,0,192,0.520833
3,11,1,6,0.500000
3,11,1,9,0.500000
3,11,1,12,0.500000
3,11,1,15,0.489583
3,11,1,18,0.484375
3,11,1,21,0.494792
3,11,1,24,0.505208
3,11,1,27,0.505208
3,11,1,30,0.479167
3,11,1,33,0.505208
3,11,1,36,0.572917
3,11,1,39,0.567708
3,11,1,42,0.552083
3,11,1,45,0.541667
3,11,1,48,0.546875
3,11,1,51,0.500000
3,11,1,54,0.473958
3,11,1,57,0.453125
3,11,1,60,0.473958
3,11,1,63,0.479167
3,11,1,66,0.468750
3,11,1,69,0.484375
3,11,1,72,0.468750
3,11,1,75,0.479167
3,11,1,78,0.463542
3,11,1,81,0.447917
3,11,1,84,0.437500
3,11,1,87,0.427083
3,11,1,90,0.401042
3,11,1,93,0.395833
3,11,1,96,0.380208
3,11,1,99,0.375000
3,11,1,102,0.401042
3,11,1,105,0.380208
3,11,1,108,0.375000
3,11,1,111,0.390625
3,11,1,114,0.427083
3,11,1,117,0.421875
3,11,1,120,0.416667
3,11,1,123,0.406250
3,11,1,126,0.432292
3,11,1,129,0.411458
3,11,1,132,0.411458
3,11,1,135,0.401042
3,11,1,138,0.390625
3,11,1,141,0.401042
3,11,1,144,0.385417
3,11,1,147,0.369792
3,11,1,150,0.354167
3,11,1,153,0.343750
3,11,1,156,0.328125
3,11,1,159,0.328125
3,11,1,162,0.322917
3,11,1,165,0.322917
3,11,1,168,0.322917
3,11,1,171,0.322917
3,11,1,174,0.322917
3,11,1,177,0.338542
3,11,1,180,0.380208
3,11,1,183,0.427083
3,11,1,186,0.406250
3,11,1,189,0.421875
3,11,1,192,0.416667
3,11,0,6,0.500000
3,11,0,9,0.500000
3,11,0,12,0.500000
3,11,0,15,0.515625
3,11,0,18,0.505208
3,11,0,21,0.473958
3,11,0,24,0.536458
3,11,0,27,0.484375
3,11,0,30,0.505208
3,11,0,33,0.500000
3,11,0,36,0.536458
3,11,0,39,0.531250
3,11,0,42,0.515625
3,11,0,45,0.515625
3,11,0,48,0.505208
3,11,0,51,0.500000
3,11,0,54,0.505208
3,11,0,57,0.520833
3,11,0,60,0.526042
3,11,0,63,0.515625
3,11,0,66,0.515625
3,11,0,69,0.531250
3,11,0,72,0.526042
3,11,0,75,0.510417
3,11,0,78,0.505208
3,11,0,81,0.520833
3,11,0,84,0.515625
3,11,0,87,0.500000
3,11,0,90,0.515625
3,11,0,93,0.505208
3,11,0,96,0.494792
3,11,0,99,0.489583
3,11,0,102,0.447917
3,11,0,105,0.447917
3,11,0,108,0.458333
3,11,0,111,0.453125
3,11,0,114,0.458333
3,11,0,117,0.468750
3,11,0,120,0.453125
3,11,0,123,0.432292
3,11,0,126,0.442708
3,11,0,129,0.442708
3,11,0,132,0.447917
3,11,0,135,0.447917
3,11,0,138,0.447917
3,11,0,141,0.416667
3,11,0,144,0.416667
3,11,0,147,0.437500
3,11,0,150,0.447917
3,11,0,153,0.437500
3,11,0,156,0.421875
3,11,0,159,0.406250
3,11,0,162,0.390625
3,11,0,165,0.401042
3,11,0,168,0.411458
3,11,0,171,0.411458
3,11,0,174,0.406250
3,11,0,177,0.427083
3,11,0,180,0.406250
3,11,0,183,0.437500
3,11,0,186,0.427083
3,11,0,189,0.421875
3,11,0,192,0.416667
5,3,1,6,0.500000
5,3,1,11,0.500000
5,3,1,16,0.500000
5,3,1,21,0.500000
5,3,1,26,0.546875
5,3,1,31,0.546875
5,3,1,36,0.552083
5,3,1,41,0.572917
5,3,1,46,0.578125
5,3,1,51,0.619792
5,3,1,56,0.635417
5,3,1,61,0.682292
5,3,1,66,0.677083
5,3,1,71,0.645833
5,3,1,76,0.645833
5,3,1,81,0.677083
5,3,1,86,0.697917
5,3,1,91,0.718750
5,3,1,96,0.760417
5,3,1,101,0.791667
5,3,1,106,0.786458
5,3,1,111,0.817708
5,3,1,116,0.859375
5,3,1,121,0.890625
5,3,1,126,0.906250
5,3,1,131,0.916667
5,3,1,136,0.937500
5,3,1,141,0.937500
5,3,1,146,0.958333
5,3,1,151,0.973958
5,3,1,156,0.984375
5,3,1,161,0.989583
5,3,1,166,0.994792
5,3,1,171,1.000000
5,3,1,176,1.000000
5,3,1,181,1.000000
5,3,1,186,1.000000
5,3,1,191,1.000000
5,3,1,192,1.000000
5,3,0,6,0.500000
5,3,0,11,0.500000
5,3,0,16,0.526042
5,3,0,21,0.520833
5,3,0,26,0.531250
5,3,0,31,0.520833
5,3,0,36,0.552083
5,3,0,41,0.531250
5,3,0,46,0.531250
5,3,0,51,0.572917
5,3,0,56,0.614583
5,3,0,61,0.614583
5,3,0,66,0.609375
5,3,0,71,0.604167
5,3,0,76,0.630208
5,3,0,81,0.651042
5,3,0,86,0.682292
5,3,0,91,0.671875
5,3,0,96,0.692708
5,3,0,101,0.718750
5,3,0,106,0.739583
5,3,0,111,0.755208
5,3,0,116,0.791667
5,3,0,121,0.812500
5,3,0,126,0.812500
5,3,0,131,0.838542
5,3,0,136,0.848958
5,3,0,141,0.854167
5,3,0,146,0.890625
5,3,0,151,0.906250
5,3,0,156,0.916667
5,3,0,161,0.937500
5,3,0,166,0.937500
5,3,0,171,0.953125
5,3,0,176,0.953125
5,3,0,181,0.973958
5,3,0,186,0.989583
5,3,0,191,1.000000
5,3,0,192,1.000000
5,5,1,6,0.500000
5,5,1,11,0.520833
5,5,1,16,0.489583
5,5,1,21,0.484375
5,5,1,26,0.510417
5,5,1,31,0.552083
5,5,1,36,0.541667
5,5,1,41,0.546875
5,5,1,46,0.557292
5,5,1,51,0.500000
5,5,1,56,0.510417
5,5,1,61,0.515625
5,5,1,66,0.572917
5,5,1,71,0.557292
5,5,1,76,0.588542
5,5,1,81,0.614583
5,5,1,86,0.598958
5,5,1,91,0.588542
5,5,1,96,0.625000
5,5,1,101,0.630208
5,5,1,106,0.609375
5,5,1,111,0.609375
5,5,1,116,0.614583
5,5,1,121,0.635417
5,5,1,126,0.651042
5,5,1,131,0.635417
5,5,1,136,0.651042
5,5,1,141,0.666667
5,5,1,146,0.729167
5,5,1,151,0.781250
5,5,1,156,0.833333
5,5,1,161,0.895833
5,5,1,166,0.947917
5,5,1,171,0.979167
5,5,1,176,0.989583
5,5,1,181,0.989583
5,5,1,186,0.989583
5,5,1,191,0.989583
5,5,1,192,0.989583
5,5,0,6,0.500000
5,5,0,11,0.500000
5,5,0,16,0.510417
5,5,0,21,0.505208
5,5,0,26,0.515625
5,5,0,31,0.520833
5,5,0,36,0.494792
5,5,0,41,0.473958
5,5,0,46,0.473958
5,5,0,51,0.510417
5,5,0,56,0.479167
5,5,0,61,0.479167
5,5,0,66,0.494792
5,5,0,71,0.494792
5,5,0,76,0.510417
5,5,0,81,0.520833
5,5,0,86,0.562500
5,5,0,91,0.552083
5,5,0,96,0.578125
5,5,0,101,0.572917
5,5,0,106,0.604167
5,5,0,111,0.625000
5,5,0,116,0.625000
5,5,0,121,0.635417
5,5,0,126,0.656250
5,5,0,131,0.677083
5,5,0,136,0.697917
5,5,0,141,0.723958
5,5,0,146,0.718750
5,5,0,151,0.723958
5,5,0,156,0.750000
5,5,0,161,0.750000
5,5,0,166,0.765625
5,5,0,171,0.781250
5,5,0,176,0.817708
5,5,0,181,0.864583
5,5,0,186,0.911458
5,5,0,191,0.973958
5,5,0,192,0.989583
5,7,1,6,0.500000
5,7,1,11,0.500000
5,7,1,16,0.458333
5,7,1,21,0.505208
5,7,1,26,0.510417
5,7,1,31,0.572917
5,7,1,36,0.583333
5,7,1,41,0.562500
5,7,1,46,0.510417
5,7,1,51,0.484375
5,7,1,56,0.479167
5,7,1,61,0.479167
5,7,1,66,0.484375
5,7,1,71,0.531250
5,7,1,76,0.494792
5,7,1,81,0.453125
5,7,1,86,0.526042
5,7,1,91,0.583333
5,7,1,96,0.578125
5,7,1,101,0.578125
5,7,1,106,0.567708
5,7,1,111,0.578125
5,7,1,116,0.588542
5,7,1,121,0.578125
5,7,1,126,0.578125
5,7,1,131,0.552083
5,7,1,136,0.536458
5,7,1,141,0.520833
5,7,1,146,0.546875
5,7,1,151,0.552083
5,7,1,156,0.557292
5,7,1,161,0.567708
5,7,1,166,0.567708
5,7,1,171,0.567708
5,7,1,176,0.572917
5,7,1,181,0.583333
5,7,1,186,0.583333
5,7,1,191,0.583333
5,7,1,192,0.583333
5,7,0,6,0.500000
5,7,0,11,0.505208
5,7,0,16,0.505208
5,7,0,21,0.479167
5,7,0,26,0.531250
5,7,0,31,0.526042
5,7,0,36,0.536458
5,7,0,41,0.536458
5,7,0,46,0.510417
5,7,0,51,0.515625
5,7,0,56,0.494792
5,7,0,61,0.505208
5,7,0,66,0.520833
5,7,0,71,0.520833
5,7,0,76,0.526042
5,7,0,81,0.520833
5,7,0,86,0.515625
5,7,0,91,0.500000
5,7,0,96,0.494792
5,7,0,101,0.526042
5,7,0,106,0.500000
5,7,0,111,0.515625
5,7,0,116,0.494792
5,7,0,121,0.505208
5,7,0,126,0.473958
5,7,0,131,0.489583
5,7,0,136,0.500000
5,7,0,141,0.520833
5,7,0,146,0.546875
5,7,0,151,0.572917
5,7,0,156,0.567708
5,7,0,161,0.562500
5,7,0,166,0.552083
5,7,0,171,0.552083
5,7,0,176,0.562500
5,7,0,181,0.572917
5,7,0,186,0.583333
5,7,0,191,0.583333
5,7,0,192,0.583333
5,9,1,6,0.500000
5,9,1,11,0.500000
5,9,1,16,0.500000
5,9,1,21,0.500000
5,9,1,26,0.484375
5,9,1,31,0.541667
5,9,1,36,0.546875
5,9,1,41,0.515625
5,9,1,46,0.520833
5,9,1,51,0.510417
5,9,1,56,0.515625
5,9,1,61,0.500000
5,9,1,66,0.468750
5,9,1,71,0.411458
5,9,1,76,0.453125
5,9,1,81,0.489583
5,9,1,86,0.484375
5,9,1,91,0.489583
5,9,1,96,0.484375
5,9,1,101,0.458333
5,9,1,106,0.468750
5,9,1,111,0.479167
5,9,1,116,0.458333
5,9,1,121,0.453125
5,9,1,126,0.453125
5,9,1,131,0.453125
5,9,1,136,0.453125
5,9,1,141,0.442708
5,9,1,146,0.437500
5,9,1,151,0.416667
5,9,1,156,0.432292
5,9,1,161,0.427083
5,9,1,166,0.453125
5,9,1,171,0.489583
5,9,1,176,0.510417
5,9,1,181,0.536458
5,9,1,186,0.520833
5,9,1,191,0.520833
5,9,1,192,0.520833
5,9,0,6,0.500000
5,9,0,11,0.500000
5,9,0,16,0.500000
5,9,0,21,0.510417
5,9,0,26,0.489583
5,9,0,31,0.489583
5,9,0,36,0.484375
5,9,0,41,0.473958
5,9,0,46,0.463542
5,9,0,51,0.489583
5,9,0,56,0.484375
5,9,0,61,0.484375
5,9,0,66,0.458333
5,9,0,71,0.442708
5,9,0,76,0.416667
5,9,0,81,0.395833
5,9,0,86,0.432292
5,9,0,91,0.468750
5,9,0,96,0.468750
5,9,0,101,0.479167
5,9,0,106,0.494792
5,9,0,111,0.468750
5,9,0,116,0.447917
5,9,0,121,0.421875
5,9,0,126,0.411458
5,9,0,131,0.395833
5,9,0,136,0.395833
5,9,0,141,0.395833
5,9,0,146,0.411458
5,9,0,151,0.427083
5,9,0,156,0.437500
5,9,0,161,0.427083
5,9,0,166,0.406250
5,9,0,171,0.421875
5,9,0,176,0.427083
5,9,0,181,0.458333
5,9,0,186,0.494792
5,9,0,191,0.505208
5,9,0,192,0.520833
5,11,1,6,0.500000
5,11,1,11,0.500000
5,11,1,16,0.500000
5,11,1,21,0.500000
5,11,1,26,0.484375
5,11,1,31,0.463542
5,11,1,36,0.546875
5,11,1,41,0.557292
5,11,1,46,0.598958
5,11,1,51,0.552083
5,11,1,56,0.536458
5,11,1,61,0.489583
5,11,1,66,0.442708
5,11,1,71,0.458333
5,11,1,76,0.437500
5,11,1,81,0.458333
5,11,1,86,0.453125
5,11,1,91,0.458333
5,11,1,96,0.463542
5,11,1,101,0.432292
5,11,1,106,0.401042
5,11,1,111,0.421875
5,11,1,116,0.406250
5,11,1,121,0.442708
5,11,1,126,0.432292
5,11,1,131,0.395833
5,11,1,136,0.401042
5,11,1,141,0.395833
5,11,1,146,0.380208
5,11,1,151,0.359375
5,11,1,156,0.354167
5,11,1,161,0.338542
5,11,1,166,0.333333
5,11,1,171,0.317708
5,11,1,176,0.338542
5,11,1,181,0.390625
5,11,1,186,0.416667
5,11,1,191,0.416667
5,11,1,192,0.416667
5,11,0,6,0.500000
5,11,0,11,0.500000
