GCI,MNI,NYT,SSP
52.62,28.12,26.31,4.85
53.06,28.25,28,4.84
53.31,27.81,27.72,4.75
55.56,26.88,29.81,4.76
57.5,26.88,29.44,4.87
59.81,26.06,30.19,4.97
59.44,26,31.28,4.98
58.38,25.19,32.28,5.47
57.69,26.69,32.03,5.46
61.88,28.81,32.31,5.53
57.69,27.25,32.31,5.26
58.12,27.25,34,5.44
58.5,28.56,32.19,5.49
60.75,28.31,33.25,5.57
62.31,29.5,33.28,5.71
62.75,29.88,34.12,6.03
62.44,29.94,33,6.09
63.62,28.88,31.84,6.22
65.38,29,32.25,6.19
68.44,28.94,32.94,6.22
69,29.94,32.34,6.24
72.88,29.88,35.5,6.42
74.12,29.94,35.09,6.42
72.75,30,36.25,6.61
69.94,29.69,35.78,6.74
68.06,30.56,35.47,6.55
65.75,29.06,35.56,6.38
67.31,29.44,35.44,6.27
67.94,33.94,36.47,6.14
66.5,33.81,35.25,6.11
66.75,35.12,37.06,5.93
66.06,37.88,35.88,5.86
66.06,36,36.47,6.01
70.19,34.88,38.56,6.25
73.25,37.12,39.81,6.45
72.19,35.62,39.62,6.06
66.62,34.62,36.56,6.03
64.56,30,33.94,5.91
63.62,32.12,31.75,6.03
63.31,31.25,31.25,5.9
64.5,29.88,31.5,5.9
63.06,29.5,31.12,6.01
59,29.31,29,5.45
61.44,26.69,29.88,5.35
58.44,31.75,29.56,5.2
56.62,34.62,27.19,5.07
55.88,34.25,28.56,5.13
51.81,34.38,24.69,4.73
51,32.88,22.81,4.52
57.5,33.19,26.88,4.96
60.69,33.12,28,5.05
61.81,32.56,29.5,5.36
63.88,30.94,29.38,5.65
63.19,32.25,28.88,5.75
64.62,35.38,32.31,5.93
63.06,34,31.06,5.85
65,32.06,33.94,5.9
62.06,30.94,33.94,5.69
68.06,29.5,35.38,5.6
64.5,32.06,34.69,5.75
70.25,32.94,35.88,5.8
64.88,32.31,33.38,5.49
62.5,32.62,32.38,5.36
64.12,32.69,34.12,5.15
65.62,32.44,32.81,5.12
67.44,29.38,31.81,5.14
65.06,33,31.44,4.87
61.81,31.69,31.12,4.79
63.5,33.94,30.38,4.79
65,35.88,29.81,4.89
63.56,34.94,29,4.95
61.81,37,29.25,4.94
63.19,36.5,27.06,5.07
68.5,36.94,31.25,5.49
71,36.88,32.81,5.65
73.38,36.31,35,5.9
71.31,34.75,34.81,5.83
71.38,33.5,35.12,5.61
73.31,34.25,34.81,5.49
74.38,35.62,34.31,5.26
72.81,34.81,33.94,5.33
72.12,35.12,34.69,5.22
74,35.81,36.38,5.41
70.69,35.81,36.81,5.28
75.25,35,39.06,5.53
71.44,34.94,39.69,5.75
76.06,34.81,40.19,6.01
74.69,35.12,38.5,6.01
72.25,37.19,39.31,6.01
70.38,36.94,37.31,5.76
69.94,35.31,37.19,5.65
68.94,34.81,37.44,5.63
68.75,36.31,38.75,5.6
71.94,37.25,40.12,5.78
70.69,37.31,40.12,5.68
70.19,38.31,39.69,5.44
69.06,39.44,38.81,5.5
69.94,40.62,39.94,5.74
72.69,40,43,5.72
70.31,39,38.44,5.18
72,35.94,39,5.27
75,38.25,40.12,5.33
74,40.19,39.81,5.36
73.44,41.88,38,5.55
73.06,42.94,40.19,5.51
71.56,41.06,38.44,5.37
74.5,43.12,41.75,5.33
75.12,43.44,48.75,5.08
77.5,42.38,47.38,5.15
81.31,41.19,48.38,5.2
75.88,40.94,45.12,5.2
76,36.31,46.5,5.49
72.75,34.31,45.62,5.45
69.94,34,47,5.54
71.81,32.06,47.62,5.49
68.75,33.62,47.06,5.44
64.56,32.56,44.94,5.08
61.75,32.75,39.69,5.04
66.44,33.38,42.44,5.18
65.56,33.06,41.69,4.91
70.38,32.38,43.31,5.13
73.75,30.62,45,5.28
70.38,30.38,42.94,5.6
69,30.12,42.81,5.56
64.19,29.69,40.38,5.26
66,30.62,40.69,5.52
63.75,30.88,40.5,5.31
60.25,31.5,37.12,5.11
63.56,32.94,39.81,5.78
61.69,32,37.62,5.41
64.88,33.12,39.19,5.69
62.75,35.25,40.06,5.51
62.19,34.06,40.12,5.6
